Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
Random_neighbours,500,50,0.5138666666666667,0.29
Random_neighbours,500,50,0.4216666666666666,0.15
Random_neighbours,500,50,0.3997333333333334,0.13
Random_neighbours,500,50,0.5905333333333335,0.36
Random_neighbours,500,50,0.5955333333333334,0.39
Random_neighbours,500,50,0.5772,0.38
Random_neighbours,500,50,0.5955333333333334,0.4
Random_neighbours,500,50,0.6055333333333334,0.41
Random_neighbours,500,50,0.5488666666666667,0.36
Random_neighbours,500,50,0.6005333333333334,0.37
Random_neighbours,500,50,0.3654333333333333,0.12
Random_neighbours,500,50,0.5872,0.38
Random_neighbours,500,50,0.345,0.11
Random_neighbours,500,50,0.5555333333333334,0.3
Random_neighbours,500,50,0.5355333333333333,0.34
Random_neighbours,500,50,0.5572,0.38
Random_neighbours,500,50,0.5572,0.36
LimeBased_neighbours,500,50,0.4638616666666667,0.3
LimeBased_neighbours,500,50,0.2521849999999999,0.11
LimeBased_neighbours,500,50,0.5927616666666667,0.4116666666666666
LimeBased_neighbours,500,50,0.27291,0.1266666666666666
LimeBased_neighbours,500,50,0.2588233333333333,0.1399999999999999
LimeBased_neighbours,500,50,0.5196166666666668,0.38
LimeBased_neighbours,500,50,0.4812016666666667,0.36
LimeBased_neighbours,500,50,0.5015833333333334,0.38
LimeBased_neighbours,500,50,0.3891483333333333,0.1275
LimeBased_neighbours,500,50,0.2078733333333333,0.08
LimeBased_neighbours,500,50,0.5172866666666668,0.4
LimeBased_neighbours,500,50,0.0691,0.01
LimeBased_neighbours,500,50,0.2769733333333333,0.1
LimeBased_neighbours,500,50,0.4916083333333334,0.37
LimeBased_neighbours,500,50,0.4839316666666666,0.35
LimeBased_neighbours,500,50,0.2961266666666666,0.1
LimeBased_neighbours,500,50,0.16372,0.08
LimeBased_neighbours,500,50,0.4703733333333334,0.35
LimeBased_neighbours,500,50,0.3522433333333333,0.15
LimeBased_neighbours,500,50,0.5282600000000002,0.39
KDE_neighbours,500,50,0.542,0.33
KDE_neighbours,500,50,0.412,0.32
KDE_neighbours,500,50,0.5720000000000001,0.4116666666666666
KDE_neighbours,500,50,0.4077599999999999,0.1366666666666666
KDE_neighbours,500,50,0.36286,0.09
KDE_neighbours,500,50,0.392,0.11
KDE_neighbours,500,50,0.34786,0.1
KDE_neighbours,500,50,0.36286,0.1
