Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
target-20-neighbours,1000,50,0.57,0.02497205
target-20-neighbours,1000,50,0.59,0.02497205
target-20-neighbours,1000,50,0.6166666666666667,0.08605445
target-20-neighbours,1000,50,0.7116666666666667,0.07539885
target-20-neighbours,1000,50,0.55,0.02497205
target-20-neighbours,1000,50,0.73,0.02497205
target-20-neighbours,1000,50,0.57,0.02497205
target-20-neighbours,1000,50,0.52,0.02497205
target-20-neighbours,1000,50,0.51,0.02497205
target-20-neighbours,1000,50,0.6566666666666666,0.0553542
target-20-neighbours,1000,50,0.7066666666666667,0.02497205
target-20-neighbours,1000,50,0.57,0.02497205
target-20-neighbours,1000,50,0.65,0.02497205
target-20-neighbours,1000,50,0.5666666666666667,0.02497205
target-20-neighbours,1000,50,0.56,0.02497205
target-20-neighbours,1000,50,0.73,0.02497205
target-20-neighbours,1000,50,0.61,0.04128214
target-20-neighbours,1000,50,0.73,0.046152105000000006
target-20-neighbours,1000,50,0.57,0.02497205
target-20-neighbours,1000,50,0.74,0.02497205
Random_neighbours,1000,50,0.6272839244999999,0.02497205
Random_neighbours,1000,50,0.40097520799999997,0.02497205
Random_neighbours,1000,50,0.5619728955,0.02497205
Random_neighbours,1000,50,0.6257151045,0.0
Random_neighbours,1000,50,0.4145161535,0.02497205
Random_neighbours,1000,50,0.3993877855000001,0.02497205
Random_neighbours,1000,50,0.7029313775,0.0508038
Random_neighbours,1000,50,0.3567358085000001,0.02497205
Random_neighbours,1000,50,0.376957051,0.02497205
Random_neighbours,1000,50,0.32673580850000006,0.02497205
Random_neighbours,1000,50,0.36696588150000004,0.02497205
Random_neighbours,1000,50,0.381511845,0.02497205
Random_neighbours,1000,50,0.381511845,0.02497205
Random_neighbours,1000,50,0.360614671,0.02497205
Random_neighbours,1000,50,0.6891152374999998,0.059901350000000006
Random_neighbours,1000,50,0.6115174944999999,0.02497205
Random_neighbours,1000,50,0.4145161535,0.02497205
Random_neighbours,1000,50,0.3993877855000001,0.02497205
Random_neighbours,1000,50,0.3567358085000001,0.02497205
Random_neighbours,1000,50,0.640850344,0.02497205
LimeBased_neighbours,1000,50,0.4611545779349999,0.02497205
LimeBased_neighbours,1000,50,0.44059629631166664,0.059901350000000006
LimeBased_neighbours,1000,50,0.4173378451666667,0.02497205
LimeBased_neighbours,1000,50,0.4865020666666667,0.1229606
LimeBased_neighbours,1000,50,0.46094856340000007,0.0553542
LimeBased_neighbours,1000,50,0.591455790435,0.02497205
LimeBased_neighbours,1000,50,0.46901914581166665,0.45823099999999994
LimeBased_neighbours,1000,50,0.5352438203116666,0.21014100000000002
LimeBased_neighbours,1000,50,0.5969486251449999,0.02497205
LimeBased_neighbours,1000,50,0.4173378451666667,0.02497205
LimeBased_neighbours,1000,50,0.37193485981166674,0.02497205
LimeBased_neighbours,1000,50,0.4891378513116667,0.046152105000000006
LimeBased_neighbours,1000,50,0.33983738031166666,0.02497205
LimeBased_neighbours,1000,50,0.2934220101666666,0.02497205
LimeBased_neighbours,1000,50,0.5373431458116666,0.02497205
LimeBased_neighbours,1000,50,0.4305962963116666,0.036056135
LimeBased_neighbours,1000,50,0.6071414755,0.10842935000000001
LimeBased_neighbours,1000,50,0.4305962963116666,0.0553542
LimeBased_neighbours,1000,50,0.466044509145,0.5343975
LimeBased_neighbours,1000,50,0.43506544831166666,0.02497205
KDE_neighbours,1000,50,0.6266666666666666,0.02497205
KDE_neighbours,1000,50,0.4307491615,0.02497205
KDE_neighbours,1000,50,0.4457491615,0.02497205
KDE_neighbours,1000,50,0.63585315,0.0
KDE_neighbours,1000,50,0.3402497205,0.02497205
KDE_neighbours,1000,50,0.45408994,0.02497205
KDE_neighbours,1000,50,0.6166666666666667,0.02497205
KDE_neighbours,1000,50,0.45408994,0.02497205
KDE_neighbours,1000,50,0.3302497205,0.02497205
KDE_neighbours,1000,50,0.6366666666666666,0.02497205
KDE_neighbours,1000,50,0.29302997999999997,0.20756049999999998
KDE_neighbours,1000,50,0.4307491615,0.02497205
KDE_neighbours,1000,50,0.63867632,0.0306513645
KDE_neighbours,1000,50,0.2802497205,0.02497205
KDE_neighbours,1000,50,0.55036056135,0.02497205
KDE_neighbours,1000,50,0.45408994,0.02497205
KDE_neighbours,1000,50,0.3402497205,0.02497205
