PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
0,5.43,2.85,0.5,0.33,169,18,75,foc,y,h,free,y,u,148,743.6,1777.71,414.59,46,11.45511146,0,0.0981446,0,0.0335,0.0007,0.0171,0.7024,0.0037,0.35305
3,5.43,2.85,0.5,0.33,85,31,75,foc,y,h,free,y,u,339.72,186.57,2877.66,195.43,46,11.43021253,0,0.0981446,0,0.0235,0.0002,0.01185,0.0856,0.0261,0.05585
4,5.43,2.85,0.5,0.33,1,31,75,foc,y,h,free,y,u,1253.73,400.55,2877.66,195.43,46,11.40496291,0,0.0981446,0,0.0906,0,0.0453,0,0,0
0,5.43,2.85,0.5,0.33,253,31,75,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,46,11.48085857,0,0.0981446,0,0.0323,0.0005,0.0164,0.7024,0.0037,0.35305
0,5.43,2.85,0.5,0.33,169,18,75,foc,y,h,free,y,u,148,743.6,1777.71,414.59,46,11.45511668,0,0.0981446,0,0.0332,0,0.0166,0.7024,0.0037,0.35305
3,5.43,2.85,0.5,0.33,85,31,75,foc,y,h,free,y,u,309,186.38,2877.66,195.43,46,11.43021933,0,0.0981446,0,0.0237,0,0.01185,0.1116,0,0.0558
4,5.43,2.85,0.5,0.33,1,31,75,foc,y,h,free,y,u,1320.74,433.92,2877.66,195.43,46,11.40496677,0,0.0981446,0,0.0906,0,0.0453,0,0,0
0,5.428523759,3.207669876,0.5649153489,0.26821115,602,97.92951157,65.69694939,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,47.28361732,12.17367891,0.191025,0.290773,0,0.3962,0.2789,0.33755,0.3726,0.0016,0.1871
0,5.43,3.21,0.56,0.27,601,97,65,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,47,12.17363616,0.176811,0.276565,0,0.3586,0.2634,0.311,0.3726,0.0016,0.1871
3,5.43,3.21,0.56,0.27,401,97,65,distr,y,u,free,e,s,393.08,160.03,2878.52,194.36,47,12.11337733,0.149088,0.248781,0,0.3285,0.2333,0.2809,0.4683,0.4683,0.4683
5,5.43,3.21,0.56,0.27,201,97,65,distr,y,u,free,e,s,2924.57,195.02,2878.52,194.36,47,12.05502026,1,1,1,0,0,0,0,0,0
5,5.43,3.21,0.56,0.27,1,97,65,distr,y,u,free,e,s,2924.57,195.02,2878.52,194.36,47,11.99912918,1,1,1,0,0,0,0,0,0
0,5.43,3.21,0.56,0.27,601,97,65,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,47,12.17363616,0.258954,0.358884,0,0.3653,0.125,0.24515,0.3726,0.0016,0.1871
3,5.43,3.21,0.56,0.27,401,97,65,distr,y,u,free,e,s,400,200,2878.52,194.36,47,12.11335617,0.107051,0.206887,0,0.1678,0.0726,0.1202,0.4762,0.4762,0.4762
3,5.43,3.21,0.56,0.27,201,97,65,distr,y,u,free,e,s,283.37,226.93,2878.52,194.36,47,12.05501105,0.0994751,0.199453,0,0.2864,0.0089,0.14765,0.4785,0.4785,0.4785
3,5.43,3.21,0.56,0.27,1,97,65,distr,y,u,free,e,s,283.37,226.93,2878.52,194.36,47,11.99911534,0,0.0981446,0,0.441,0.1818,0.3114,0.8817,0.0385,0.4601
0,5.43,3.21,0.56,0.27,601,97,65,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,47,12.17363616,0.258954,0.358884,0,0.4159,0.3436,0.37975,0.371,0,0.1855
3,5.43,3.21,0.56,0.27,401,97,65,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,47,12.11336319,0.136102,0.236078,0,0.6483,0.0351,0.3417,0.914,0.0217,0.46785
3,5.43,3.21,0.56,0.27,201,97,65,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,47,12.05502496,0.0413775,0.141115,0,0.6871,0.0117,0.3494,0,0,0
3,5.43,3.21,0.56,0.27,1,97,65,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,47,11.99915234,0,0.0981446,0,0.4881,0.2107,0.3494,0.4356,0.4356,0.4356
0,7.006962322,4.448633209,0.6618493277,0.3565808487,496,76.1208014,75.17410024,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35.49806476,11.76605746,0,0.0981446,0,0,0,0,0,0,0
0,7.01,4.45,0.66,0.36,495,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.76602082,0,0.0981446,0,0,0,0,0,0,0
0,7.01,4.45,0.66,0.36,330,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.71598751,0,0.0981446,0,0,0,0,0,0,0
0,7.01,4.45,0.66,0.36,165,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.66748126,0,0.0981446,0,0,0,0,0,0,0
0,7.01,4.45,0.66,0.36,495,76,75,free,e,u,free,e,s,801.43,728.17,364.2,741.87,35,11.76602082,0,0.0981446,0,0,0,0,0,0,0
